,userid,newsid,nickname,name,sex,head_url,region,autograph,integral,is_big_v,is_first_login,creator_id,news_title,news_subtitle,updated_year,updated_month,updated_day,updated_timestamp,label
376,285,2512,1,0,1,0,2576,1,5919,1,0,241,1,1,2019,7,13,999.0,1
323,361,2511,1,0,1,1,1906,0,478,0,0,26212,1,1,2019,7,13,999.0,1
1230,378,1122,1,0,1,0,1906,0,5595,1,0,239,1,1,2019,7,5,922.0,0
454,202,2510,1,0,1,1,120,1,168,1,0,241,1,1,2019,7,13,998.0,1
445,271,2510,1,0,2,1,1906,1,29633,1,0,241,1,1,2019,7,13,998.0,1
1292,206,1664,1,0,1,1,1899,1,410,1,0,19,1,1,2019,7,6,925.0,0
1097,15316,968,1,1,2,1,2763,1,286,1,0,53992,1,1,2019,6,29,863.0,0
1032,57081,851,1,0,2,1,2985,0,0,0,0,26212,1,1,2019,7,6,927.0,0
1127,13,2482,1,0,0,0,3,1,1168,1,0,551,1,1,2019,7,13,999.0,1
1037,278,2557,1,0,2,1,1906,0,526,1,0,6140,1,1,2019,7,13,1000.0,1
1201,532,1392,1,0,0,1,3,0,8283,1,0,56433,1,1,2019,7,7,937.0,0
1071,18537,929,1,1,2,1,1217,0,8,1,0,238,1,1,2019,7,3,903.0,0
522,56407,1062,1,0,2,0,113,1,0,1,0,884,1,1,2019,7,2,892.0,0
349,242,2519,1,0,0,1,3,1,17525,1,0,26212,1,1,2019,7,13,1000.0,1
1301,206,1673,1,0,1,1,1899,1,410,1,0,54307,1,1,2019,7,6,927.0,0
341,202,591,1,0,1,1,120,1,168,1,0,232,1,1,2019,6,13,706.0,0
1440,3495,1641,1,1,0,1,1890,0,5333,1,0,26095,1,1,2019,7,5,916.0,0
349,202,779,1,0,1,1,120,1,168,1,0,232,1,1,2019,6,21,784.0,0
631,3040,2543,1,1,1,1,270,0,6265,1,0,285,1,1,2019,7,13,999.0,1
577,226,2520,1,0,1,1,1906,1,3546,1,0,341,1,1,2019,7,13,999.0,1
1489,53964,2447,1,0,1,1,113,0,0,1,0,53964,1,1,2019,7,13,991.0,1
658,336,2538,1,0,1,1,1891,1,21454,1,0,26128,1,1,2019,7,13,1000.0,1
1391,4747,1481,1,1,1,1,2494,1,86,0,0,14579,1,1,2019,7,5,920.0,0
726,1499,1471,1,1,1,1,2992,1,320,0,0,319,1,1,2019,7,4,912.0,0
543,56407,1572,1,0,2,0,113,1,0,1,0,25986,1,1,2019,7,5,917.0,0
172,415,1396,1,0,1,1,1891,1,0,1,0,26122,1,1,2019,7,7,941.0,0
1427,82513,1628,1,0,1,0,2277,1,0,0,0,54090,1,1,2019,7,5,922.0,0
1140,297,1165,1,0,1,0,1906,0,1254,1,0,509,1,1,2019,7,3,903.0,0
343,202,639,1,0,1,1,120,1,168,1,0,685,1,1,2019,7,5,922.0,0
331,26111,2519,1,0,1,1,1889,0,1050,1,0,26212,1,1,2019,7,13,1000.0,1
1491,636,1806,1,0,1,1,5,0,68,1,0,3562,1,1,2019,7,6,930.0,0
830,234,2458,1,0,1,1,1906,0,350,0,0,338,1,1,2019,7,13,1000.0,1
457,3631,1845,1,1,1,1,2367,1,2156,0,0,372,1,1,2019,7,6,927.0,0
76,171121,2514,1,0,1,0,90,0,0,0,0,241,1,1,2019,7,13,1000.0,1
402,56407,2512,1,0,2,0,113,1,0,1,0,241,1,1,2019,7,13,999.0,1
1496,636,1829,1,0,1,1,5,0,68,1,0,233,1,1,2019,7,6,930.0,0
1405,297,2546,1,0,1,0,1906,0,1254,1,0,352,1,1,2019,7,13,999.0,1
1063,18537,911,1,1,2,1,1217,0,8,1,0,10,1,1,2019,6,27,841.0,0
892,336,672,1,0,1,1,1891,1,21454,1,0,300,1,1,2019,7,12,987.0,0
695,26128,495,1,0,2,0,1889,1,0,1,0,6,1,1,2019,7,4,909.0,0
6,306,969,1,0,1,1,2732,1,414,0,0,26128,1,1,2019,7,3,903.0,0
1041,7336,2557,1,1,1,1,1978,1,1094,0,0,6140,1,1,2019,7,13,1000.0,1
1511,25986,2391,1,0,0,1,3,0,50,1,0,25986,1,1,2019,7,13,998.0,1
746,1039,483,1,1,1,1,1780,0,232,1,0,294,1,1,2019,7,4,909.0,0
1054,13,1258,1,0,0,0,3,1,1168,1,0,26128,1,1,2019,7,6,923.0,0
761,341,2528,1,0,1,1,1891,1,11985,1,0,13693,1,1,2019,7,13,1000.0,1
1044,297,2557,1,0,1,0,1906,0,1254,1,0,6140,1,1,2019,7,13,1000.0,1
306,226,500,1,0,1,1,1906,1,3546,1,0,691,1,1,2019,7,5,919.0,0
709,56407,2531,1,0,2,0,113,1,0,1,0,56407,1,1,2019,7,13,999.0,1
477,170873,261,1,0,1,1,113,1,0,1,0,232,1,1,2019,6,12,698.0,0
380,233,1406,1,0,1,1,1906,1,2424,1,0,325,1,1,2019,7,5,919.0,0
1462,4680,1373,1,1,1,1,400,0,100,1,0,4680,1,1,2019,7,13,999.0,1
616,206,2461,1,0,1,1,1899,1,410,1,0,631,1,1,2019,7,13,1000.0,1
1481,7340,825,1,1,2,1,1863,0,82,0,0,242,1,1,2019,7,13,1000.0,1
894,662,2342,0,1,0,1,3,0,13593,1,0,12,1,1,2019,7,13,1000.0,1
498,3136,2502,1,1,0,1,1890,1,4907,1,0,677,1,1,2019,7,13,998.0,1
1349,3434,2500,1,1,1,1,1976,1,5863,1,0,3434,1,1,2019,7,13,998.0,1
625,250,2542,1,0,0,1,3,1,6415,1,0,285,1,1,2019,7,13,999.0,1
712,1499,677,1,1,1,1,2992,1,320,0,0,691,1,1,2019,7,5,919.0,0
953,19532,2521,1,1,1,1,1542,0,0,0,0,354,1,1,2019,7,13,999.0,1
389,254,2512,1,0,1,1,1891,1,6701,1,0,241,1,1,2019,7,13,999.0,1
1452,268,1706,1,0,0,1,1889,0,298,1,0,53934,1,1,2019,7,5,920.0,0
554,170954,2517,1,0,2,1,113,0,0,0,0,677,1,1,2019,7,13,999.0,1
496,26212,1330,1,1,1,1,112,1,8,1,0,505,1,1,2019,7,4,909.0,0
1004,10355,2537,1,1,1,1,1889,0,782,1,0,10355,1,1,2019,7,13,1000.0,1
730,1499,1575,1,1,1,1,2992,1,320,0,0,532,1,1,2019,7,5,917.0,0
1449,541,1682,1,0,1,1,1889,0,16263,1,0,15204,1,1,2019,7,9,961.0,0
1494,3436,2490,1,1,2,1,1890,0,4903,1,0,687,1,1,2019,7,13,999.0,1
1506,679,1860,1,1,1,1,3,0,5615,1,0,595,1,1,2019,7,10,964.0,0
1498,636,1835,1,0,1,1,5,0,68,1,0,238,1,1,2019,7,9,958.0,0
244,18,1915,1,0,2,1,2494,1,362,1,0,18,1,1,2019,7,14,1000.0,1
1330,171012,1272,1,1,1,1,256,1,0,0,0,352,1,1,2019,7,4,907.0,0
